Countyname,ST_Name,FIPS,POP_ESTIMA,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Day_8,Day_9,Day_10,Day_11,Day_12,Day_13,Day_14
Autauga,Alabama,01001,55601,6,7,16,19,11,13,8,3,10,13,7,7,4,2
Baldwin,Alabama,01003,218022,17,13,18,31,7,18,31,12,25,24,27,357,34,18
Barbour,Alabama,01005,24881,2,0,3,12,0,4,2,0,0,19,4,2,10,0
Bibb,Alabama,01007,22400,2,10,7,11,5,12,4,1,8,3,3,8,6,1
Blount,Alabama,01009,57840,9,9,15,8,8,8,3,6,1,13,8,5,8,3
Bullock,Alabama,01011,10138,1,1,1,3,1,2,3,0,0,1,0,2,3,0
Butler,Alabama,01013,19680,4,6,9,11,-1,5,1,1,2,2,3,2,0,3
Calhoun,Alabama,01015,114277,20,18,20,51,9,13,25,26,19,32,41,18,13,8
Chambers,Alabama,01017,33615,3,0,4,16,11,1,2,3,1,19,4,2,4,3
Cherokee,Alabama,01019,26032,4,4,4,8,3,7,2,3,0,8,7,4,3,3
Chilton,Alabama,01021,44153,11,9,12,17,5,7,11,13,8,16,14,1,14,2
Choctaw,Alabama,01023,12841,1,1,1,5,1,1,1,0,5,2,2,5,1,0
Clarke,Alabama,01025,23920,1,3,13,19,18,8,0,2,13,14,4,16,6,-1
Clay,Alabama,01027,13275,4,5,7,7,4,9,1,2,3,8,6,2,1,-1
Cleburne,Alabama,01029,14987,1,1,15,3,1,12,8,1,3,4,6,6,14,5
Coffee,Alabama,01031,51909,11,11,8,16,11,4,10,10,10,48,10,1,22,6
Colbert,Alabama,01033,54762,11,9,17,16,6,10,11,10,12,15,11,12,7,2
Conecuh,Alabama,01035,12277,0,0,1,4,2,0,0,0,0,1,1,0,-1,2
Coosa,Alabama,01037,10715,1,0,1,3,3,1,0,0,0,4,1,0,0,2
Covington,Alabama,01039,36986,9,20,8,19,19,9,6,2,1,36,17,8,9,4
Crenshaw,Alabama,01041,13824,1,4,3,5,0,4,3,0,1,1,2,-2,2,1
Cullman,Alabama,01043,83442,26,11,11,24,4,19,7,12,13,14,9,1,3,8
Dale,Alabama,01045,48956,9,6,8,7,1,5,8,4,5,72,11,3,15,4
Dallas,Alabama,01047,38310,2,1,1,11,2,6,1,0,2,4,3,0,1,5
DeKalb,Alabama,01049,71385,16,35,34,60,9,51,26,13,49,53,27,20,18,8
Elmore,Alabama,01051,81887,15,7,28,28,15,30,9,9,9,31,27,20,20,28
Escambia,Alabama,01053,36748,0,0,4,10,8,9,1,0,2,19,8,3,4,2
Etowah,Alabama,01055,102501,15,22,15,28,0,27,8,6,16,28,25,41,27,8
Fayette,Alabama,01057,16433,4,14,6,1,0,0,5,0,9,2,1,0,5,1
Franklin,Alabama,01059,31363,5,5,14,1,3,12,6,8,6,17,11,14,3,1
Geneva,Alabama,01061,26314,4,7,10,10,2,19,5,6,3,62,6,12,6,6
Greene,Alabama,01063,8233,0,0,1,12,2,1,0,2,1,0,1,0,1,2
Hale,Alabama,01065,14726,4,3,1,13,3,3,7,3,1,3,6,3,4,0
Henry,Alabama,01067,17209,5,4,4,10,5,4,0,4,9,34,5,4,4,2
Houston,Alabama,01069,104722,17,12,16,38,16,28,16,21,16,339,30,8,15,4
Jackson,Alabama,01071,51736,16,19,22,32,10,30,11,4,20,19,27,13,14,8
Jefferson,Alabama,01073,659300,87,94,173,197,27,96,111,65,82,142,134,87,283,105
Lamar,Alabama,01075,13844,3,7,6,3,2,-1,1,2,3,4,7,4,0,5
Lauderdale,Alabama,01077,92387,17,4,20,14,18,11,19,17,8,20,15,13,8,11
Lawrence,Alabama,01079,32957,13,5,12,10,4,9,14,10,0,5,3,8,2,6
Lee,Alabama,01081,163941,33,11,13,25,25,45,17,15,24,49,25,26,46,26
Limestone,Alabama,01083,96174,21,24,39,43,28,38,32,40,29,27,28,17,13,9
Lowndes,Alabama,01085,9974,1,2,4,3,3,3,4,0,0,2,1,0,0,2
Macon,Alabama,01087,18439,1,2,5,4,2,5,4,0,1,3,3,2,0,0
Madison,Alabama,01089,366519,48,74,45,63,43,16,40,42,52,57,69,51,24,3
Marengo,Alabama,01091,19066,16,6,26,93,3,3,3,5,2,7,2,4,2,0
Marion,Alabama,01093,29763,3,-1,0,5,6,3,4,5,5,5,6,5,1,4
Marshall,Alabama,01095,96109,6,10,16,38,19,16,10,6,7,21,9,12,8,8
Mobile,Alabama,01097,413757,29,34,49,42,18,33,34,5,47,51,22,61,51,36
Monroe,Alabama,01099,21067,2,0,1,6,3,0,1,0,2,2,1,0,2,0
Montgomery,Alabama,01101,225763,49,34,58,45,24,22,32,22,19,40,30,24,28,1
Morgan,Alabama,01103,119089,26,33,32,49,15,33,22,20,41,31,27,13,15,7
Perry,Alabama,01105,9140,1,5,1,18,1,2,0,0,1,0,0,0,1,0
Pickens,Alabama,01107,19938,2,9,9,6,9,1,3,0,5,3,2,2,2,2
Pike,Alabama,01109,33338,5,1,7,5,8,1,3,4,4,7,3,4,4,11
Randolph,Alabama,01111,22725,1,3,6,7,7,7,3,4,11,9,4,6,6,6
Russell,Alabama,01113,57781,5,11,3,8,-2,11,1,1,7,7,11,6,22,3
Shelby,Alabama,01117,215707,33,36,48,92,12,37,41,32,54,55,45,57,90,31
St. Clair,Alabama,01115,88690,8,9,16,36,11,19,17,13,14,33,25,10,20,19
Sumter,Alabama,01119,12691,0,3,2,9,0,2,3,0,1,0,1,2,-3,-1
Talladega,Alabama,01121,79828,7,26,26,43,15,25,9,4,6,46,9,2,12,1
Tallapoosa,Alabama,01123,40497,2,0,7,2,2,8,4,2,5,9,3,5,2,5
Tuscaloosa,Alabama,01125,208911,44,73,40,26,12,61,72,25,63,32,59,11,192,93
Walker,Alabama,01127,63711,6,6,14,20,21,24,12,12,9,12,27,7,15,24
Washington,Alabama,01129,16378,1,6,10,1,1,3,2,0,2,17,1,2,0,-1
Wilcox,Alabama,01131,10627,0,2,1,2,8,1,1,0,1,2,1,2,0,0
Winston,Alabama,01133,23660,7,10,14,6,8,15,3,6,1,4,6,2,1,5
Apache,Arizona,04001,71818,0,-7,59,0,12,20,41,2,0,6,4,15,26,1
Cochise,Arizona,04003,126770,0,11,10,7,3,6,9,0,1,0,6,1,6,2
Coconino,Arizona,04005,142854,16,37,44,16,42,12,40,16,12,33,32,32,33,35
Gila,Arizona,04007,53889,0,2,23,13,19,5,12,0,7,19,53,26,18,25
Graham,Arizona,04009,38072,2,2,11,20,6,3,3,10,8,8,1,17,8,22
Greenlee,Arizona,04011,9483,0,0,0,2,0,0,0,0,1,0,0,0,0,0
La Paz,Arizona,04012,21098,3,0,5,6,3,5,1,0,0,0,3,1,-1,1
Maricopa,Arizona,04013,4410824,296,431,549,431,525,425,506,228,215,402,279,431,118,361
Mohave,Arizona,04015,209550,0,-1,12,-1,4,7,18,0,2,15,16,13,7,12
Navajo,Arizona,04017,110445,12,11,13,3,23,20,11,-2,1,8,8,1,18,-3
Pima,Arizona,04019,1039073,63,39,76,70,125,40,72,55,70,71,78,78,59,124
Pinal,Arizona,04021,447138,52,19,32,54,60,49,64,1,28,32,13,30,15,56
Santa Cruz,Arizona,04023,46511,6,5,4,5,3,-3,6,6,2,4,20,8,1,5
Yavapai,Arizona,04025,231993,0,13,11,10,27,9,19,0,8,19,7,17,8,26
Yuma,Arizona,04027,212128,25,35,45,47,11,6,62,0,0,19,31,35,7,8
Arkansas,Arkansas,05001,17769,9,2,13,11,29,12,26,1,5,11,11,6,9,4
Ashley,Arkansas,05003,20046,5,5,6,8,2,3,0,0,1,4,4,7,1,1
Baxter,Arkansas,05005,41619,4,6,10,15,14,9,8,1,5,7,7,17,9,6
Benton,Arkansas,05007,272608,36,27,49,56,76,31,48,20,18,65,40,68,64,50
Boone,Arkansas,05009,37480,2,9,11,17,17,2,9,9,10,9,13,22,16,10
Bradley,Arkansas,05011,10897,1,1,0,3,0,0,0,0,0,0,1,2,0,0
Calhoun,Arkansas,05013,5277,0,1,0,0,1,0,0,1,0,0,0,0,0,0
Carroll,Arkansas,05015,28223,12,12,2,48,21,4,12,2,11,4,17,15,22,16
Chicot,Arkansas,05017,10438,0,0,1,1,1,1,1,0,0,0,4,2,0,1
Clark,Arkansas,05019,22061,3,4,6,3,8,8,9,3,4,5,5,10,7,4
Clay,Arkansas,05021,14847,1,4,4,9,11,5,5,3,7,5,3,10,10,6
Cleburne,Arkansas,05023,24965,2,1,6,5,5,5,5,2,2,8,7,5,4,3
Cleveland,Arkansas,05025,8018,0,0,0,1,1,0,2,0,2,1,2,1,0,1
Columbia,Arkansas,05027,23537,7,2,8,7,11,5,14,10,10,11,14,20,20,11
Conway,Arkansas,05029,20891,3,1,1,2,4,2,1,3,0,9,6,6,1,5
Craighead,Arkansas,05031,108558,34,24,59,88,55,72,37,26,34,53,50,48,61,29
Crawford,Arkansas,05033,63406,14,32,21,28,52,14,14,15,17,20,20,38,29,21
Crittenden,Arkansas,05035,48342,7,8,6,12,13,10,11,0,2,8,14,13,11,11
Cross,Arkansas,05037,16676,3,3,0,2,5,6,0,7,5,5,9,8,7,6
Dallas,Arkansas,05039,7182,1,0,0,0,1,2,0,0,2,1,1,1,0,3
Desha,Arkansas,05041,11512,2,1,4,6,7,1,6,0,4,3,6,7,0,3
Drew,Arkansas,05043,18328,0,4,0,2,4,2,3,0,0,2,2,0,2,0
Faulkner,Arkansas,05045,124806,16,16,29,40,36,30,37,24,25,36,47,30,35,29
Franklin,Arkansas,05047,17810,16,7,16,14,23,6,6,2,5,2,14,11,7,4
Fulton,Arkansas,05049,12269,0,5,6,1,4,5,3,3,2,7,3,9,8,7
Garland,Arkansas,05051,99154,17,6,10,12,16,13,5,9,9,17,25,28,19,12
Grant,Arkansas,05053,18188,2,2,6,5,8,2,4,1,1,1,1,2,1,2
Greene,Arkansas,05055,45325,5,18,24,29,29,16,19,4,6,10,12,19,15,11
Hempstead,Arkansas,05057,21741,15,2,7,7,9,15,4,3,1,6,5,11,6,5
Hot Spring,Arkansas,05059,33701,6,3,11,25,16,34,0,3,8,12,6,7,4,4
